id,first_name,last_name,email,gender,addressLine1,addressLine2,city,state,zip,ssn,mobile,phone,dob,products_purchased,complains,money_spent
43-918-4246,Denise,Clewer,dclewer0@themeforest.net,Male,71 Mccormick Circle,,Birmingham,Alabama,35254,496-25-6542,205-940-3858,914-691-3858,1944-11-26,5,2,1543.81
10-156-1245,Isabelle,Huddart,ihuddart1@barnesandnoble.com,Male,52748 Northfield Circle,,Boston,Massachusetts,02163,189-67-7237,339-946-9762,330-711-1934,2002-10-12,5,1,496.21
37-183-2536,Kerri,Durman,kdurman2@addtoany.com,Female,85491 Reindahl Plaza,,Jackson,Tennessee,38308,542-50-1207,731-309-8350,402-938-0504,1963-06-03,9,3,1722.1
59-033-3305,Byran,Kroger,bkroger3@tripadvisor.com,Female,58152 Rieder Circle,,Des Moines,Iowa,50335,356-38-6932,515-742-8932,239-868-1100,2004-02-06,9,3,519.86
31-369-4587,Brittney,Betke,bbetke4@exblog.jp,Male,22121 Basil Way,,San Diego,California,92145,685-78-2261,858-306-9350,941-264-8892,1977-03-06,13,0,1732.9
54-239-6870,Trixy,Sollner,tsollner5@buzzfeed.com,Male,3133 Towne Avenue,,San Bernardino,California,92415,730-28-4243,909-753-9443,203-318-1465,1942-01-02,14,2,282.59
45-019-4291,Alvinia,Smallsman,asmallsman6@tuttocitta.it,Male,6 Fordem Hill,,Washington,District of Columbia,20370,872-05-2470,202-270-3985,203-587-8087,1977-11-27,7,0,1772.8
22-148-9487,Rosalia,Adan,radan7@wisc.edu,Male,85798 Sycamore Point,,Boise,Idaho,83727,466-41-0020,208-380-2718,646-964-2072,1981-07-20,7,2,960.43
06-093-3272,Delores,Jansky,djansky8@youku.com,Male,09927 Hanson Trail,,Honolulu,Hawaii,96810,164-20-6694,808-976-6558,614-270-6996,1935-10-11,5,1,2442.44
56-164-7329,Clarey,Ashmore,cashmore9@noaa.gov,Male,099 Transport Parkway,,Youngstown,Ohio,44511,385-31-0935,330-234-2398,954-211-2678,1992-04-12,12,1,2267.74
