id,first_name,last_name,email,gender,addressLine1,addressLine2,city,state,zip,ssn,mobile,phone,dob,products_purchased,complains,money_spent
908569428-0,Mercie,Karpychev,mkarpychev0@wunderground.com,Male,02446 Logan Place,,Buffalo,New York,14215,331-30-1169,716-481-0547,718-539-3952,1986-03-29,20,2,324.36
360476161-1,Rozanna,Skitt,rskitt1@elpais.com,Male,01734 Artisan Drive,,Miami,Florida,33185,184-95-3498,305-224-5327,816-225-7589,1954-03-30,15,1,2978.31
984809416-4,Breanne,Postians,bpostians2@technorati.com,Male,4739 Ridge Oak Street,,Austin,Texas,78715,804-62-9450,512-371-5796,508-176-1319,1935-08-07,18,2,2050.33
872514243-7,Ortensia,Whitford,owhitford3@umn.edu,Male,343 Texas Avenue,,Houston,Texas,77040,435-96-1021,281-261-7604,972-247-4897,1974-04-09,4,0,2982.19
677462364-6,Annmarie,Hourihan,ahourihan4@howstuffworks.com,Female,747 Farwell Parkway,,Shreveport,Louisiana,71161,344-62-6633,318-403-3035,915-828-6481,1972-04-22,2,0,2111.95
938360907-9,Sauncho,Bleeze,sbleeze5@uiuc.edu,Female,12 Dwight Court,,Springfield,Illinois,62764,100-94-8102,217-202-5229,501-775-0527,1977-06-22,5,1,317.76
286589841-5,Yardley,Talks,ytalks6@cyberchimps.com,Male,701 Caliangt Center,,Washington,District of Columbia,20442,508-38-5798,202-108-9422,540-886-4864,1966-09-12,10,1,2137.13
160287139-6,Loralee,Bisset,lbisset7@biblegateway.com,Male,832 Burning Wood Drive,,Birmingham,Alabama,35205,741-48-8484,205-503-0773,412-256-4369,1960-03-05,12,1,1922.23
799287696-2,Patience,Varren,pvarren8@shinystat.com,Female,43 Garrison Avenue,,Chicago,Illinois,60663,469-25-9397,312-896-5747,309-943-7287,1945-01-23,10,0,537.14
317656465-1,Dorie,Alldridge,dalldridge9@i2i.jp,Female,05 Park Meadow Place,,Dallas,Texas,75387,820-04-0164,214-339-0971,202-777-2253,1986-09-07,15,2,1674.42
007822632-5,Blinnie,Tremolieres,btremolieresa@cam.ac.uk,Female,30 Cherokee Parkway,,Fort Wayne,Indiana,46862,345-28-1400,260-255-5391,727-809-1264,1995-01-22,5,1,2803.32
956576958-6,Gino,Cownden,gcowndenb@over-blog.com,Male,0 Summerview Way,,Arlington,Texas,76096,426-06-8801,214-505-0326,405-437-0606,1951-11-14,12,2,182.92
145359771-9,Jens,Cauderlie,jcauderliec@fc2.com,Female,2 Mcbride Trail,,New York City,New York,10292,791-69-0497,212-524-1651,352-103-4926,1989-08-24,13,0,602.06
932650185-X,Vidovic,Crotch,vcrotchd@icio.us,Male,3395 Quincy Terrace,,Tucson,Arizona,85725,729-12-6332,520-776-6487,501-640-5266,1989-06-04,9,3,452.25
205863441-1,Agatha,Dorian,adoriane@moonfruit.com,Female,51704 Warbler Junction,,Phoenix,Arizona,85077,760-52-1753,602-851-3910,915-571-2566,1990-09-07,12,0,1163.84
992533373-3,Brynne,Renshaw,brenshawf@msn.com,Female,367 Orin Parkway,,Anderson,South Carolina,29625,354-24-9201,864-604-7430,770-373-1161,1981-02-22,12,2,2269.3
812575511-X,Farlee,Grumbridge,fgrumbridgeg@cam.ac.uk,Female,488 Sage Drive,,Miami Beach,Florida,33141,805-39-1492,305-559-3922,513-600-3604,1977-09-26,19,2,439.65
341182950-8,Sandye,Poile,spoileh@bigcartel.com,Female,03 Kedzie Park,,Gainesville,Florida,32627,841-13-6533,352-155-2149,515-753-1768,1997-07-22,2,0,660.38
281797088-8,Ronna,Norkett,rnorketti@diigo.com,Female,318 Express Park,,Muskegon,Michigan,49444,596-24-0453,231-473-4521,205-695-8408,1974-09-27,17,1,2132.85
765256113-2,Donnell,Fourman,dfourmanj@archive.org,Female,76 Crowley Alley,,Carol Stream,Illinois,60351,506-87-1579,309-670-0835,704-518-2476,1933-05-15,19,3,310.96
156260746-4,Marlie,Canti,mcantik@arizona.edu,Female,225 Green Ridge Center,,Young America,Minnesota,55557,188-62-6593,952-925-5726,202-978-2787,1993-10-12,18,0,468.53
853988945-5,Zollie,McMychem,zmcmycheml@samsung.com,Female,5708 Tomscot Way,,Tampa,Florida,33605,263-43-4591,813-203-8021,918-469-8180,1944-07-07,16,3,2851.44
219238238-3,Dwayne,Rawlcliffe,drawlcliffem@tiny.cc,Male,26 1st Parkway,,Cincinnati,Ohio,45271,179-25-2457,513-767-8905,954-924-9242,1985-09-26,1,1,140.25
507922239-5,Patrizia,Gibberd,pgibberdn@patch.com,Male,2 Longview Street,,Waterbury,Connecticut,06726,705-46-0321,203-486-0225,262-693-9250,1958-01-11,1,3,636.9
710014979-7,Starlene,Stukings,sstukingso@sciencedirect.com,Female,72676 Lighthouse Bay Junction,,Detroit,Michigan,48295,694-14-4278,313-902-0637,423-500-5107,1959-06-02,6,2,2091.43
084297799-6,Feliza,Emnoney,femnoneyp@berkeley.edu,Female,82 Union Pass,,Pasadena,Texas,77505,881-02-1334,713-256-1192,260-381-6426,1964-05-19,1,0,1030.43
055788877-8,Pen,Stokey,pstokeyq@yelp.com,Male,83860 Leroy Crossing,,Irving,Texas,75062,293-96-6104,817-143-5048,619-334-9218,1936-04-25,2,2,1300.0
216079237-3,Binny,Deville,bdeviller@ebay.co.uk,Female,7865 Northview Hill,,Atlanta,Georgia,30380,248-86-1867,404-584-9348,508-821-3184,1996-07-30,14,3,756.3
242671549-9,Parrnell,Daud,pdauds@google.com.au,Male,63 Walton Plaza,,West Palm Beach,Florida,33405,861-11-7783,561-721-3178,571-946-3519,1987-03-27,14,3,1877.86
449980256-3,Humfrid,MacIlwrick,hmacilwrickt@forbes.com,Male,5 Prairie Rose Parkway,,San Francisco,California,94126,889-22-7644,415-269-2888,339-346-4791,1960-04-18,3,1,1716.14
095799385-4,Agna,Del Monte,adelmonteu@hao123.com,Female,741 Talmadge Center,,Indianapolis,Indiana,46295,150-82-9765,317-575-6354,815-164-2678,1994-07-21,11,2,899.77
004397292-6,Benjamin,Glendining,bglendiningv@howstuffworks.com,Male,10763 Nova Court,,Washington,District of Columbia,20425,660-73-1323,202-244-0972,432-800-5225,1964-05-24,12,3,769.27
304273570-2,Blinnie,Brignell,bbrignellw@i2i.jp,Female,952 Mitchell Way,,Ogden,Utah,84409,358-63-6336,801-466-4876,215-281-5713,1987-07-25,10,2,133.08
152460009-1,Curran,Ayris,cayrisx@soundcloud.com,Female,2 Surrey Drive,,Washington,District of Columbia,20099,643-05-4019,202-910-2036,816-841-1851,1991-01-08,15,1,1102.9
685586927-0,Alard,Gribbell,agribbelly@msu.edu,Male,42521 Bashford Terrace,,Norwalk,Connecticut,06859,248-60-9848,203-493-6656,719-241-3856,1940-11-09,10,3,2720.7
012723733-X,Siobhan,Janisson,sjanissonz@apache.org,Male,45078 Meadow Valley Way,,New York City,New York,10019,876-93-4049,917-128-9894,702-549-6364,1982-11-19,8,2,720.67
275489658-9,Karlan,Bembrick,kbembrick10@youku.com,Female,4948 Meadow Ridge Junction,,Norman,Oklahoma,73071,677-02-0989,405-134-8244,650-782-5353,1988-10-20,17,2,2396.93
518628944-2,Lauritz,Kinkade,lkinkade11@wikimedia.org,Female,8097 Dunning Lane,,El Paso,Texas,88530,791-48-2935,915-444-8200,217-764-9324,1992-04-27,10,3,1189.11
166192916-8,Damon,Ratley,dratley12@zdnet.com,Male,8988 Bultman Circle,,Philadelphia,Pennsylvania,19136,386-48-8788,267-439-0381,713-675-1966,1985-10-11,16,2,2714.11
353100267-8,Krisha,Greville,kgreville13@reuters.com,Male,46672 Dwight Crossing,,Kansas City,Missouri,64114,499-53-6818,816-294-7440,503-462-3951,1946-01-07,5,1,1235.2
048379459-7,Danit,Gage,dgage14@mediafire.com,Female,999 Derek Circle,,Palmdale,California,93591,472-38-3635,661-615-7429,626-883-4246,1960-03-12,17,2,2911.78
221438679-3,Nealon,Vairow,nvairow15@auda.org.au,Female,68 Stuart Road,,Cheyenne,Wyoming,82007,421-24-1197,307-913-4266,216-774-5545,1933-10-16,13,0,479.34
711437859-9,Gwenni,Dourin,gdourin16@nhs.uk,Male,31252 Stoughton Lane,,Las Vegas,Nevada,89150,828-53-1686,702-422-8482,818-287-2039,1966-03-29,3,0,220.54
929827299-5,Percy,Torrisi,ptorrisi17@youku.com,Male,799 Service Street,,Edmond,Oklahoma,73034,442-36-2288,405-214-1566,214-299-1083,1931-06-03,14,0,995.5
802889427-5,Gaven,Melby,gmelby18@nba.com,Male,48 Utah Lane,,Washington,District of Columbia,20470,165-47-4545,202-669-0814,305-691-1804,1995-03-27,15,2,2217.74
798188890-5,Dniren,Attril,dattril19@goo.gl,Female,25842 Boyd Center,,Seattle,Washington,98175,581-55-9856,206-220-9199,563-935-0498,1961-08-16,2,3,1405.11
942948567-9,Ewell,Sandcroft,esandcroft1a@liveinternet.ru,Female,933 Vahlen Avenue,,Reno,Nevada,89505,240-24-1337,775-891-9865,919-341-1660,1944-11-09,7,1,165.63
789589538-9,Eugenia,Eccles,eeccles1b@umich.edu,Male,2 Stoughton Circle,,Washington,District of Columbia,20397,404-69-5195,202-537-5382,404-142-2481,1980-10-08,5,1,848.73
695426745-7,Evanne,Kunzler,ekunzler1c@berkeley.edu,Female,48546 Novick Point,,Ogden,Utah,84409,329-22-6103,801-878-5686,859-989-2179,1983-07-09,17,0,2040.46
463826971-0,Onofredo,Zima,ozima1d@microsoft.com,Female,3650 Independence Way,,New Bedford,Massachusetts,02745,591-94-3371,508-686-4805,702-215-9900,1957-07-26,8,0,259.8
640391219-4,Patrica,Dawkins,pdawkins1e@ox.ac.uk,Male,66037 Morning Lane,,Los Angeles,California,90094,627-52-4509,323-644-6529,816-951-6020,1974-10-18,1,2,2963.36
528835944-X,Kennett,Gauld,kgauld1f@intel.com,Male,37037 Ryan Circle,,Nashville,Tennessee,37245,331-28-8058,615-912-2424,571-710-6556,1956-09-28,1,0,2754.26
993311959-1,Hastie,Huntingdon,hhuntingdon1g@vkontakte.ru,Male,7184 Helena Pass,,Lakewood,Washington,98498,147-02-7775,253-591-1443,402-157-5523,1948-01-11,14,0,423.1
854762993-9,Guillaume,Meadowcraft,gmeadowcraft1h@canalblog.com,Female,405 Schurz Terrace,,Dallas,Texas,75236,894-62-8176,214-250-6045,203-409-4195,2001-03-04,16,3,252.69
887599296-7,Lianna,Otterwell,lotterwell1i@comsenz.com,Male,487 Petterle Junction,,San Jose,California,95118,133-58-0155,408-895-9377,415-608-8000,2000-02-23,9,3,294.75
751024528-1,Sarina,Winslett,swinslett1j@un.org,Female,975 Bartelt Terrace,,Minneapolis,Minnesota,55417,617-92-2594,612-463-4115,865-122-5976,1945-10-16,9,1,1309.97
768388795-1,Marti,Kondrat,mkondrat1k@usa.gov,Female,1 Almo Hill,,Cleveland,Ohio,44197,613-09-5245,216-641-6139,904-782-2737,1971-06-11,8,0,1301.03
